"No.","Time","Source","Data","Data","Destination","Protocol","Length","Info"
"1","0.000000000","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"2","1.075059777","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"3","2.074571999","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"4","3.074049746","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"5","3.999654044","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"6","5.074891566","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"7","5.999683358","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"8","7.074507617","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"9","8.075040246","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"10","9.000130207","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"11","9.485544659","172.16.42.1","","","mdns.mcast.net","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"12","10.073272337","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"13","10.999611581","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"14","11.406185365","172.16.42.1","","","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"15","11.780727180","172.16.42.1","53706f7455647030e62bce4ad9ea665a000100044895c203645c89390e8e6c535da3950câ\200\246","53706f7455647030e62bce4ad9ea665a000100044895c203645c89390e8e6c535da3950câ\200\246","172.16.42.255","UDP","86","57621  >  57621 Len=44"
"16","12.073777362","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
