"Arrival Time","Data","Info"
"Oct  5, 2015 12:28:00.370230000 -03","578f4a5454a74f6a696750a7685387a6a65267525985a8675952555259588564a7a5584fâ\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 2)"
"Oct  5, 2015 12:28:00.371301000 -03","578f4a5454a74f6a696750a7685387a6a65267525985a8675952555259588564a7a5584fâ\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 1)"
"Oct  5, 2015 12:28:00.372071000 -03","68a8646634a76a6a59565588544fa6886864a650585966596767a76868535867534f4f57â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 4)"
"Oct  5, 2015 12:28:00.372106000 -03","68a8646634a76a6a59565588544fa6886864a650585966596767a76868535867534f4f57â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 3)"
"Oct  5, 2015 12:28:00.372210000 -03","6968585057a5876a34645552586a4f50586752698888a78785535553a857568587685854â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 6)"
"Oct  5, 2015 12:28:00.372224000 -03","6968585057a5876a34645552586a4f50586752698888a78785535553a857568587685854â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 5)"
"Oct  5, 2015 12:28:00.372320000 -03","64a6a55769558754a66987a834a5884f875755586a85548859876754876aa7556a595485â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 8)"
"Oct  5, 2015 12:28:00.372324000 -03","64a6a55769558754a66987a834a5884f875755586a85548859876754876aa7556a595485â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 7)"
"Oct  5, 2015 12:28:00.372415000 -03","56a5688568675357a86aa787675753a834538785694f548852576850a55459a75352596aâ\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 10)"
"Oct  5, 2015 12:28:00.372419000 -03","56a5688568675357a86aa787675753a834538785694f548852576850a55459a75352596aâ\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 9)"
"Oct  5, 2015 12:28:00.372507000 -03","4f856858695352675668a853506756a56a566650348569a7a85350556a52535469a75650â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 12)"
"Oct  5, 2015 12:28:00.372511000 -03","4f856858695352675668a853506756a56a566650348569a7a85350556a52535469a75650â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 11)"
"Oct  5, 2015 12:28:00.372597000 -03","69695559528554505352536a586956a6535254505457695734526a586957525459536656â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 14)"
"Oct  5, 2015 12:28:00.372601000 -03","69695559528554505352536a586956a6535254505457695734526a586957525459536656â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 13)"
"Oct  5, 2015 12:28:00.372687000 -03","676767545369565987a64fa7645768538558855355685450856a50a734584fa5554f57a5â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 16)"
"Oct  5, 2015 12:28:00.372690000 -03","676767545369565987a64fa7645768538558855355685450856a50a734584fa5554f57a5â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 15)"
"Oct  5, 2015 12:28:00.372775000 -03","8757875767596a5987576788666a5450535357685959a56a564f8853526a5268346a8855â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 18)"
"Oct  5, 2015 12:28:00.372778000 -03","8757875767596a5987576788666a5450535357685959a56a564f8853526a5268346a8855â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 17)"
"Oct  5, 2015 12:28:00.372863000 -03","548567a666878869a564696950a66654595455a5a6685954a768676685a8586852a78859â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 20)"
"Oct  5, 2015 12:28:00.372867000 -03","548567a666878869a564696950a66654595455a5a6685954a768676685a8586852a78859â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 19)"
"Oct  5, 2015 12:28:00.372951000 -03","5258a5526887508859a558884f6a6487a68785554f6987576750a65968555567596a5066â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 22)"
"Oct  5, 2015 12:28:00.372955000 -03","5258a5526887508859a558884f6a6487a68785554f6987576750a65968555567596a5066â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 21)"
"Oct  5, 2015 12:28:00.373039000 -03","a86759535254506a8869a7a65854a55858a5a753856857a6546757a657668569a8a55685â\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 24)"
"Oct  5, 2015 12:28:00.373042000 -03","a86759535254506a8869a7a65854a55858a5a753856857a6546757a657668569a8a55685â\200\246","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 23)"
"Oct  5, 2015 12:28:00.373125000 -03","885369a66a8852508558a56669a5a785554f85a66769506aa656695058a769675285686aâ\200\246","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 26)"
